# ----------------------------------------
# Instantané des rapports
# Compte : Servicesartisans 
# Propriété : Servicesartisans
# ----------------------------------------
#  
# Date de début : 20260319
# Date de fin : 20260417
Utilisateurs actifs,Nouveaux utilisateurs,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements
2113,2083,47.73213440605774,32125

#  
# Date de début : 20260319
# Date de fin : 20260417
Titre de la page et classe de l'écran,Vues,Utilisateurs actifs,Nombre d'événements,Taux de rebond
ERWAN BINAUD (ERWAN BINAUD PEINTURE) - Peintre en… | ServicesArtisans,3,1,11,0
Entretien mensuel d'un jardin (200 m²) La Roche-sur-Yon :… | ServicesArtisans,3,1,13,0
FREDERIC CHOLLET (CHOLLET COUVERTURE) - Couvreur à Le… | ServicesArtisans,3,1,16,0
GEORGES PASTOOR - Électricien à Le Blanc-Mesnil | ServicesArtisans,3,1,16,0
GL BTP - Maçon à Embrun | ServicesArtisans,3,1,20,0
Guides Pratiques pour vos Travaux | ServicesArtisans | ServicesArtisans,3,2,10,0
Géomètre à Sada — Devis Gratuit | ServicesArtisans,3,1,9,0
ILYAS KAIOUINE (KAIOUINE) (KAIOUINE) -… | ServicesArtisans,3,1,8,0
IREL TINKEU EDET (ITC COUVERTURE) - Couvreur à Royan | ServicesArtisans,3,1,21,0.5
ISMAEL WINSTERSTEIN - Peintre en bâtiment à Rouen | ServicesArtisans,3,1,16,0
IVAN LAZAROV - Peintre en bâtiment à Bordeaux | ServicesArtisans,3,2,24,0.3333333333333333
Infiltration par la toiture Calais — Solutions | ServicesArtisans,3,1,11,0
Isolation thermique Paris 2026 : 644 Artisans | ServicesArtisans,3,1,13,0
JEREMY MARTIN (LA LUZ) - Solier-moquettiste à Arles | ServicesArtisans,3,2,30,0
JESSI LEDOUX (JL COUVERTURE) - Couvreur à Outreau | ServicesArtisans,3,1,16,0
JONATHAN MARCHAND (EJM) - Plombier à… | ServicesArtisans,3,2,24,0.5
JOSE GOMES VENTURA (ECA BAT) - Maçon à… | ServicesArtisans,3,1,20,0
JOSE SYLVANISE - Maçon à Fort-de-France | ServicesArtisans,3,1,16,0
JOSEPH MARTINS (MILLE ET UN SEVICES… | ServicesArtisans,3,1,31,0.2
JOSIAS NESTOR - Charpentier à Sainte-Rose | ServicesArtisans,3,1,11,0
JULIEN MESLIER (MJ ISOLATION) -… | ServicesArtisans,3,1,21,0
JULIEN REY (REY JULIEN EIRL) - Chauffagiste à… | ServicesArtisans,3,1,16,0
JULIEN SANCHEZ (JULIEN SANCHEZ) - Menuisier à Strasbourg | ServicesArtisans,3,1,16,0
Jardinier 22 : tarifs et devis | ServicesArtisans,3,1,22,0
Jardinier Pirae (987) — Devis 2026 | ServicesArtisans,3,1,8,0
"Jardinier à Centre-ville, Le Vauclin — 5… | ServicesArtisans",3,1,16,0
KOKY HIPPOLYTE NIANGORAN (HIPPO… | ServicesArtisans,3,1,19,0
LAURENT FLOCH - Peintre en bâtiment à Charleville-Mézières | ServicesArtisans,3,1,14,0
LUCIANO DEMETRIO (DL RENOVATION) -… | ServicesArtisans,3,1,27,0
LUCIEN DE CASTRO (LD PEINTURE) - Peintre… | ServicesArtisans,3,1,20,0
"Ligny-en-Barrois, Bar-le-Duc : devis… | ServicesArtisans",3,1,14,0
Lyon : artisans qualifiés — Devis | ServicesArtisans,3,2,11,0
MACONNERIE BETON GUYANE (MACONNERIE… | ServicesArtisans,3,1,17,0
MAISON GRENAUX - Carreleur à Bruguières | ServicesArtisans,3,3,32,0
MALIK MEHDAOUI (M.M PLOMBERIE CHAUFFAGE)… | ServicesArtisans,3,1,10,0
MICHAEL GRILLANDINI - Plâtrier à… | ServicesArtisans,3,1,18,0
MOHAMED AMMARI (AMMARI PLATRERIE… | ServicesArtisans,3,1,16,0.5
